Siniestro,DENUNCIA,Pieza,Tarea,Horas
577/2020,M245982,TAPA BAUL HATCH                     ,Sustituir,2.50
577/2020,M245982,LUNETA TRAS.                     ,SYC,1.00
577/2020,M245982,KIT PEGADO                     ,Sustituir,0.00
577/2020,M245982,PARAGOLPE TRASERO                     ,Sustituir,1.00
577/2020,M245982,FAROL TRASERO IZQ                 ,Sustituir,0.25
577/2020,M245982,PANEL TRASERO cola                ,Sustituir,6.00
577/2020,M245982,PISO DE BAUL                     ,Reparar,4.00
577/2020,M245982,MEDIO CHASIS TRAS. IZQ                 ,Reparar,1.50
577/2020,M245982,MEDIO CHASIS TRAS. DER                 ,Reparar,1.50
577/2020,M245982,GUARDABARRO TRASERO SOLDADO IZQ                 ,Reparar,1.00
577/2020,M245982,GUARDABARRO TRASERO SOLDADO DER                 ,Reparar,1.00
577/2020,M245982,TAPIZADO BAUL COMPL.                     ,SYC,0.60
577/2020,M245982,FLETES                     ,Sustituir,0.00
661/2020,M305946,PARAGOLPE DEL CON ACCESORIOS                     ,Reparar,3.00
661/2020,M305946,CAPOT .                   ,Sustituir,1.00
661/2020,M305946,CARETA                     ,SYC,0.50
661/2020,M305946,GUARDABARRO/S DELANTERO/S DER                 ,Reparar,0.00
661/2020,M305946,FAROL/ES DELANTERO/S DER                 ,SYC,0.50
661/2020,M305946,CARETA                     ,SYC,0.50
661/2020,M305946,FLETES                     ,Sustituir,0.00
661/2020,M305946,GUARDABARRO TRASERO SOLDADO DER                 ,Reparar,2.00
661/2020,M305946,PUERTA TRAS.  DESARME COMPL. DER                 ,Reparar,2.00
786/2020,M300763,PUERTA DELANTERA DES. PARCIAL IZQ                 ,Reparar,6.00
786/2020,M300763,PUERTAS DES. PARCIAL tras IZQ            ,Reparar,3.50
786/2020,M300763,BISAGRAS PUERTAS tras IZQ            ,Reparar,1.00
786/2020,M300763,MONTANTE CENTRALES IZQ                 ,Reparar,1.00
821/2020,M304093,PUERTA DELAN. DESARME COMPLETO IZQ                 ,Sustituir,4.00
821/2020,M304093,GUARDABARRO/S DELANTERO/S IZQ                 ,Sustituir,1.50
821/2020,M304093,GUIA DE PARAGOLPES IZQ                 ,Sustituir,0.20
821/2020,M304093,CAMINERO IZQ                 ,Sustituir,0.00
821/2020,M304093,BUCHEGLASS IZQ                 ,Sustituir,0.30
821/2020,M304093,COLIZAS ext.pta. del IZQ    ,Sustituir,0.00
821/2020,M304093,PARAGOLPE DEL CON ACCESORIOS                     ,Reparar,3.00
821/2020,M304093,FAROL/ES DELANTERO/S IZQ                 ,SYC,0.50
821/2020,M304093,PUERTA TRAS.  DESARME COMPL. IZQ                 ,Reparar,4.00
