STRO,DENUNCIA,TR_SERIE,TR_NRO_DENUNCIA,NRO_STRO,ANIO_STRO,TR_MARCA,TATMP_NU_ANNIO,TR_MODELO,TR_ANIO,TIPO_VEH,COLOR,TR_DANIOS,EMPRESA
22775/2021,M360918,M,360.918,22.775,2.021,VOLKSWAGEN,2.021,N4PGOL VI 1.6 G,2.015,AUTO,BLANCO,"PARAGOLPE DELANTERO , ALMA DE PARAGOLPE DELANTERO,  CARETA, FRENTE , RADIADORES, CAPOT, GUARDABARROS DELANTEROS,  OPTICOS,  MECANICA Y DEM?S A CORROBORAR",CARS
20031/2021,M362288,M,362.288,20.031,2.021,VOLKSWAGEN,2.021,N4PUP HIGH 1.0,2.016,AUTO,BCO,PUERTA TRASERA DERECHA  ZOCALO INFERIOR TRASERO DERECHO  GUARDABARRO TRASERO DERECHO DEMAS A CORROBORAR,CARS
20702/2021,M363267,M,363.267,20.702,2.021,VOLKSWAGEN,2.021,N4PGOL VII 1.6,2.018,AUTO,GRIS,"PUERTA TRASERA DERECHA,  GUARDABARRO TRASERO DERECHO, PARAGOLPE TRASERO Y DEMAS A CORROBORAR",CARS
20399/2021,M362592,M,362.592,20.399,2.021,PEUGEOT,2.021,N208 NEW 1.2 AL,2.020,AUTO,BLANCO,"GUARDABARRO TRASERO Y LANTA TRASERA DERECHA, PARAGOLPE TRASERO",CARS
20405/2021,M363622,M,363.622,20.405,2.021,VOLKSWAGEN,2.021,NUP MOVE /ESPEC,2.017,AUTO,GRIS,GUARDABARRO TRASERO IZQUIERDO  PUERTA TRASERA  IZQUIERDA PARAGOLPE TRASERO,CARS
20489/2021,M362982,M,362.982,20.489,2.021,VOLKSWAGEN,2.021,N4PGOL VI 1.6 G,2.015,AUTO,NEGRO,PARAGOLPE DELANTERO CARETA CAPOT OPTICA IZQUIERDA GUARDABARRO DELANTERO IZQUIERDO DEMAS A CORROBORAR,CARS
19358/2021,M362511,M,362.511,19.358,2.021,CHEVROLET,2.021,N4PCORSA 1.4 LS,2.011,AUTO,GRIS,"PARAGOLPE TRASERO, TAPA BAUL.PORTON TRASERO.DEMAS INTERNO A CORROBORAR.",CARS
19700/2021,M362767,M,362.767,19.700,2.021,VOLKSWAGEN,2.021,N4PUP MOVE /ESP,2.017,AUTO,BCO,"ENVOLVENTE DELANTERO.,CAPOT,GUARD.DEL. DERECHO DEMAS DA?OS A CORROBORRAR",CARS
19832/2021,M363347,M,363.347,19.832,2.021,CHEVROLET,2.021,N4PSPARK 1.0 LS,2.013,AUTO,GRIS,"PARAGOLPE DELANTERO, ESPOLON",CARS
20409/2021,M359985,M,359.985,20.409,2.021,SUZUKI,2.021,N4PALTO MARUTI,2.015,AUTO,GRIS,PUERTA TRASERA IZQUIERDA,CARS
19176/2021,M363036,M,363.036,19.176,2.021,CHEVROLET,2.021,N4PPRISMA NUEVO,2.018,AUTO,GRIS,"PARAGOLPE DELANTERO, CAPOT,DA?OS A CORROBORRAR EN FRENTE E INTERIORES.",CARS
18641/2021,M361810,M,361.810,18.641,2.021,VOLKSWAGEN,2.021,NUP NUEVO TAKE,2.021,AUTO,GRIS,PARAGOLPE TRASERO GUARDABARRO TRASERO IZQUIERDO  DEMAS A CORROBORAR,CARS
18102/2021,M365156,M,365.156,18.102,2.021,GEELY,2.021,N4PCK,2.012,AUTO,GRIS,"PARAGOLPE TRASERO, GUARDBARRO TRASERO IZQ, PUERTA TRASERA IZQ",CARS
18522/2021,M362604,M,362.604,18.522,2.021,RENAULT,2.021,NKWID 1.0 ZEN F,2.020,AUTO,MARFIL,PORTON TRASERO CIERRE DE BA?L PARAGOLPE TRASERO GUARDABARROS TRASEROS A CONFIRMAR INTERIOR,CARS
19772/2021,M361469,M,361.469,19.772,2.021,HYUNDAI,2.021,N4PHB20,2.021,AUTO,AZUL,"AMBOS PARAGOLPES, GUARDABARRO DELANTERO DERECHO",CARS
18632/2021,M361153,M,361.153,18.632,2.021,FORD,2.021,N4PFIESTA 1.6 1,2.017,AUTO,GRIS,PARAGOLPE TRASERO GUARDABARRO TRASERO DERECHO CAMINERO TRASERO DERECHO,CARS
19267/2021,M361876,M,361.876,19.267,2.021,VOLKSWAGEN,2.021,NUP MOVE /ESPEC,2.017,AUTO,GRIS,PARAGOLPE TRASER,CARS
