Siniestro,DENUNCIA,Pieza,Tarea,Horas,pieza_normalizada
577/2020,M245982,tapa baul hatch,Sustituir,2.50,Tapa de Baul
577/2020,M245982,luneta tras,SYC,1.00,Otro
577/2020,M245982,kit pegado,Sustituir,0.00,Otro
577/2020,M245982,paragolpe trasero,Sustituir,1.00,Paragolpe Trasero
577/2020,M245982,farol trasero izq,Sustituir,0.25,Farol Trasero Izquierdo
577/2020,M245982,panel trasero cola,Sustituir,6.00,Panel Trasero
577/2020,M245982,piso de baul,Reparar,4.00,Otro
577/2020,M245982,medio chasis tras izq,Reparar,1.50,Otro
577/2020,M245982,medio chasis tras der,Reparar,1.50,Otro
577/2020,M245982,guardabarro trasero soldado izq,Reparar,1.00,Guardabarro Trasero Izquierdo
577/2020,M245982,guardabarro trasero soldado der,Reparar,1.00,Guardabarro Trasero Derecho
577/2020,M245982,tapizado baul compl,SYC,0.60,Otro
577/2020,M245982,fletes,Sustituir,0.00,Otro
661/2020,M305946,paragolpe del con accesorios,Reparar,3.00,Paragolpe Delantero
661/2020,M305946,capot,Sustituir,1.00,Capot
661/2020,M305946,careta,SYC,0.50,Otro
661/2020,M305946,guardabarro delantero der,Reparar,0.00,Guardabarro Delantero Derecho
661/2020,M305946,faroles delantero der,SYC,0.50,Farol Delantero Derecho
661/2020,M305946,careta,SYC,0.50,Otro
661/2020,M305946,fletes,Sustituir,0.00,Otro
661/2020,M305946,guardabarro trasero soldado der,Reparar,2.00,Guardabarro Trasero Derecho
661/2020,M305946,puerta tras desarme compl der,Reparar,2.00,Puerta Trasera Derecha
786/2020,M300763,puerta delantera des parcial izq,Reparar,6.00,Puerta Delantera Izquierda
786/2020,M300763,puertas des parcial tras izq,Reparar,3.50,Puerta Trasera Izquierda
786/2020,M300763,bisagras puertas tras izq,Reparar,1.00,Otro
786/2020,M300763,montante centrales izq,Reparar,1.00,Otro
821/2020,M304093,puerta delan desarme completo izq,Sustituir,4.00,Puerta Delantera Izquierda
821/2020,M304093,guardabarro delantero izq,Sustituir,1.50,Guardabarro Delantero Izquierdo
821/2020,M304093,guia de paragolpes izq,Sustituir,0.20,Otro
821/2020,M304093,caminero izq,Sustituir,0.00,Otro
821/2020,M304093,bucheglass izq,Sustituir,0.30,Otro
821/2020,M304093,colizas extpta del izq,Sustituir,0.00,Otro
821/2020,M304093,paragolpe del con accesorios,Reparar,3.00,Paragolpe Delantero
821/2020,M304093,faroles delantero izq,SYC,0.50,Farol Delantero Izquierdo
821/2020,M304093,puerta tras desarme compl izq,Reparar,4.00,Puerta Trasera Izquierda
821/2020,M304093,zocalo izq,Reparar,2.00,Zocalo Izquierdo
821/2020,M304093,montante de parabrisas izq,Reparar,2.00,Otro
821/2020,M304093,tapizados izq,SYC,1.00,Otro
844/2020,M304973,capot,Sustituir,1.00,Capot
844/2020,M304973,guia de paragolpes gu!a x2,Sustituir,0.20,Otro
844/2020,M304973,paragolpe del con accesorios,Sustituir,2.00,Paragolpe Delantero
844/2020,M304973,careta,Sustituir,0.50,Otro
844/2020,M304973,aloj faro del (derizq) izq,Sustituir,2.00,Otro
844/2020,M304973,frente soldado completo,Reparar,4.00,Otro
844/2020,M304973,faroles delantero izq,Sustituir,0.50,Farol Delantero Izquierdo
844/2020,M304973,soporte electro,Sustituir,0.40,Otro
844/2020,M304973,deposito lp,Sustituir,0.20,Otro
844/2020,M304973,pasarrueda delantero c op guard izq,Reparar,3.00,Otro
844/2020,M304973,guardabarro delantero ajustar izq,Reparar,1.50,Guardabarro Delantero Izquierdo
844/2020,M304973,faroles delantero der,SYC,0.50,Farol Delantero Derecho
844/2020,M304973,carga de gas,Sustituir,0.00,Otro
844/2020,M304973,radiador de agua,SYC,0.80,Otro
844/2020,M304973,condensador de aa,SYC,1.00,Otro
844/2020,M304973,refrigerante,Sustituir,0.00,Otro
844/2020,M304973,vanos motor,SYC,1.00,Otro
844/2020,M304973,ajuste conjunto del,SYC,1.00,Otro
903/2020,M304977,guardabarro trasero soldado izq,Reparar,6.00,Guardabarro Trasero Izquierdo
903/2020,M304977,paragolpe trasero,Reparar,3.00,Paragolpe Trasero
903/2020,M304977,farol trasero izq,SYC,0.25,Farol Trasero Izquierdo
903/2020,M304977,manija puerta tras izq,Reparar,0.00,Otro
903/2020,M304977,puerta tras desarme compl izq,Reparar,2.00,Puerta Trasera Izquierda
903/2020,M304977,bagueta pta tras izq,Reparar,0.00,Otro
903/2020,M304977,guardabarro delantero der,Reparar,2.00,Guardabarro Delantero Derecho
903/2020,M304977,paragolpe del con accesorios,Reparar,2.50,Paragolpe Delantero
903/2020,M304977,faroles delantero der,SYC,0.50,Farol Delantero Derecho
903/2020,M304977,bucheglass der,SYC,0.30,Otro
903/2020,M304977,llanta del der,Reparar,1.00,Otro
903/2020,M304977,llanta tras izq,Reparar,1.00,Otro
925/2020,M305984,guardabarro delantero cagujero der,Sustituir,1.50,Guardabarro Delantero Derecho
925/2020,M305984,paragolpe del con accesorios,Sustituir,2.00,Paragolpe Delantero
925/2020,M305984,faroles delantero der,Sustituir,0.50,Farol Delantero Derecho
925/2020,M305984,caminero der,Sustituir,0.00,Otro
925/2020,M305984,bucheglass del der,Sustituir,0.30,Otro
925/2020,M305984,guia de paragolpes x2 del,Sustituir,0.20,Otro
925/2020,M305984,tasa,Sustituir,0.00,Otro
925/2020,M305984,llanta chapa,Sustituir,0.50,Otro
925/2020,M305984,cubierta michelin1856514,Sustituir,0.10,Otro
925/2020,M305984,alineacion control x2,Sustituir,0.00,Otro
925/2020,M305984,balancear,Sustituir,0.00,Otro
925/2020,M305984,puerta delantera des parcial der,Reparar,1.50,Puerta Delantera Derecha
925/2020,M305984,espejo retrovisor ext,Reparar,0.20,Otro
925/2020,M305984,pasarrueda delantero y sopguarb der,Reparar,2.50,Otro
925/2020,M305984,zocalo der,Reparar,3.00,Zocalo Derecho
925/2020,M305984,aloj faro del (derizq) der,Reparar,1.00,Otro
925/2020,M305984,broches varios x10,Sustituir,0.00,Otro
925/2020,M305984,lamparas,Sustituir,0.00,Otro
925/2020,M305984,faroles delantero der,Sustituir,0.50,Farol Delantero Derecho
942/2020,M305605,calco de puerta trasera izq,Sustituir,0.00,Otro
942/2020,M305605,cubre zocalo izq,Reparar,3.50,Zocalo Izquierdo
945/2020,M304640,calcos puerta tras der,Sustituir,0.00,Otro
945/2020,M304640,puerta tras desarme compl der,Sustituir,5.00,Puerta Trasera Derecha
945/2020,M304640,tasa np,Sustituir,0.00,Otro
945/2020,M304640,manija puerta trasexter der,Sustituir,0.00,Otro
945/2020,M304640,manija puerta agarre interno tras der,Sustituir,0.00,Otro
945/2020,M304640,guardabarro trasero soldado der,Reparar,6.00,Guardabarro Trasero Derecho
945/2020,M304640,tapa ext deposito comb,Reparar,1.00,Otro
945/2020,M304640,deposito de combustible,SYC,2.00,Otro
945/2020,M304640,farol trasero der,SYC,0.25,Farol Trasero Derecho
945/2020,M304640,alineacion tren tras trascontrol,Sustituir,0.00,Otro
997/2020,M304027,paragolpe trasero,Sustituir,1.00,Paragolpe Trasero
997/2020,M304027,ojo de gato trasero parag der,Sustituir,0.25,Otro
1110/2020,M301783,broches 2 de careta,Sustituir,0.00,Otro
1110/2020,M301783,guia de paragolpes izq,Sustituir,0.20,Otro
1110/2020,M301783,careta,SYC,0.50,Otro
1110/2020,M301783,paragolpe del con accesorios,Reparar,4.00,Paragolpe Delantero
1110/2020,M301783,frente soldado completo ajuste,Reparar,0.50,Otro
1110/2020,M301783,alma de paragolpe deltras,Reparar,1.50,Otro
1129/2020,M304437,airbag izq,Sustituir,1.00,Otro
1129/2020,M304437,airbag der,Sustituir,1.00,Otro
1129/2020,M304437,paragolpe del con accesorios,Sustituir,2.00,Paragolpe Delantero
1129/2020,M304437,capot,Sustituir,1.00,Capot
1129/2020,M304437,frente soldado completo,Sustituir,6.00,Otro
1129/2020,M304437,faroles delantero izq,Sustituir,0.50,Farol Delantero Izquierdo
1129/2020,M304437,faroles delantero der,Sustituir,0.50,Farol Delantero Derecho
1129/2020,M304437,radiador de agua,Sustituir,0.80,Otro
1129/2020,M304437,condensador de aa,Sustituir,1.00,Otro
1129/2020,M304437,refrigerante,Sustituir,0.00,Otro
1129/2020,M304437,carga de gas,Sustituir,0.00,Otro
1129/2020,M304437,cinto seguridad del izq,Sustituir,0.50,Otro
1129/2020,M304437,cinto seguridad del der,Sustituir,0.50,Otro
1129/2020,M304437,reseteo sistema,Sustituir,0.00,Otro
1129/2020,M304437,encausador aire juego,Sustituir,0.20,Otro
1129/2020,M304437,guardabarro delantero izq,Sustituir,1.50,Guardabarro Delantero Izquierdo
1129/2020,M304437,guardabarro delantero der,Sustituir,1.50,Guardabarro Delantero Derecho
1129/2020,M304437,sacarcolocar motor,SYC,8.00,Otro
1129/2020,M304437,vanos motor,SYC,1.00,Otro
1129/2020,M304437,medio chasis del izq,Reparar,6.00,Otro
1129/2020,M304437,medio chasis del der,Reparar,8.00,Otro
1129/2020,M304437,pasarrueda delantero der,Reparar,7.00,Otro
1129/2020,M304437,pasarrueda delantero izq,Reparar,4.00,Otro
1129/2020,M304437,puerta delantera des parcial der,Reparar,6.50,Puerta Delantera Derecha
1129/2020,M304437,puerta delantera des parcial izq,Reparar,2.00,Puerta Delantera Izquierda
1129/2020,M304437,puerta tras des parcial parcial der,Reparar,4.00,Puerta Trasera Derecha
1129/2020,M304437,montante delan der,Reparar,2.50,Otro
1129/2020,M304437,caY=os aa ca$?o baja,Sustituir,0.50,Otro
1129/2020,M304437,rejilla centde parag,Sustituir,0.10,Otro
1129/2020,M304437,insignia emblema del,Sustituir,0.10,Otro
1129/2020,M304437,tablero completo,SYC,6.00,Otro
1129/2020,M304437,aire acondicionado ca$?o alta,Sustituir,0.50,Otro
1129/2020,M304437,sonda lambda,Sustituir,0.15,Otro
1129/2020,M304437,varios protec mult,Sustituir,0.00,Otro
1129/2020,M304437,pata de motor x3,Sustituir,0.25,Otro
1129/2020,M304437,bateria,Sustituir,0.30,Otro
1129/2020,M304437,cierre de espolon,Sustituir,0.25,Otro
1129/2020,M304437,rejilla torpedo cont izq,Sustituir,0.50,Otro
1129/2020,M304437,bisagras capot x2,Sustituir,0.25,Otro
1129/2020,M304437,deposito lp,Sustituir,0.20,Otro
1129/2020,M304437,bocina,Sustituir,0.30,Otro
1129/2020,M304437,bucheglass del der,Sustituir,0.30,Otro
1129/2020,M304437,carcaza filtro aire,Sustituir,0.25,Otro
1129/2020,M304437,soportes radiadores sup x2,Sustituir,0.15,Otro
1129/2020,M304437,guia de paragolpes del x2,Sustituir,0.20,Otro
1129/2020,M304437,travesaY=o entrechasis travesa$?o,Sustituir,3.00,Otro
1129/2020,M304437,electroventilador,Sustituir,0.60,Otro
1129/2020,M304437,soporte electro,Sustituir,0.40,Otro
1438/2020,M245997,espejo retrovisor ext ctapa pintable,Sustituir,0.40,Otro
1438/2020,M245997,puerta delantera des parcial der,Reparar,4.00,Puerta Delantera Derecha
1438/2020,M245997,moldura puerta del der,Reparar,1.00,Otro
1438/2020,M245997,zocalo der,Reparar,3.00,Zocalo Derecho
1438/2020,M245997,estribo derecho plastico,Reparar,2.00,Otro
1438/2020,M245997,tapizado der,SYC,0.20,Otro
1438/2020,M245997,fletes,Sustituir,0.00,Otro
1473/2020,M302399,insignia emblema kwid,Sustituir,0.10,Otro
1473/2020,M302399,tapa baul hatch,Reparar,6.00,Tapa de Baul
1473/2020,M302399,cantonera tras izq,Reparar,1.00,Otro
1473/2020,M302399,cantonera tras der,Reparar,1.00,Otro
1473/2020,M302399,paragolpe trasero,SYC,1.00,Paragolpe Trasero
1473/2020,M302399,farol trasero izq,SYC,0.25,Farol Trasero Izquierdo
1473/2020,M302399,farol trasero der,SYC,0.25,Farol Trasero Derecho
1583/2020,M304647,panel trasero de cola,Sustituir,6.00,Panel Trasero
1583/2020,M304647,alma paragolpe tras,Sustituir,0.50,Otro
1583/2020,M304647,paragolpe trasero,Sustituir,1.00,Paragolpe Trasero
1583/2020,M304647,spoiler tras inf,Sustituir,0.50,Otro
1583/2020,M304647,tapa baul hatch,Sustituir,2.50,Tapa de Baul
1583/2020,M304647,insignia emblema h,Sustituir,0.10,Otro
1583/2020,M304647,insignia i30,Sustituir,0.20,Otro
1583/2020,M304647,kit pegado,Sustituir,0.00,Otro
1583/2020,M304647,guardabarro trasero soldado der,Reparar,2.00,Guardabarro Trasero Derecho
1583/2020,M304647,guardabarro trasero soldado izq,Reparar,2.00,Guardabarro Trasero Izquierdo
1583/2020,M304647,piso de baul,Reparar,4.00,Otro
1583/2020,M304647,farol trasero izq,SYC,0.25,Farol Trasero Izquierdo
1583/2020,M304647,farol trasero der,SYC,0.25,Farol Trasero Derecho
1583/2020,M304647,tapizado baul compl,SYC,0.60,Otro
1583/2020,M304647,luneta tras,SYC,1.00,Otro
1583/2020,M304647,tapizado de baul panel cola,Reparar,1.00,Otro
1623/2020,M304086,paragolpe trasero,Sustituir,1.00,Paragolpe Trasero
1623/2020,M304086,guia de paragolpes x2,Sustituir,0.20,Otro
1623/2020,M304086,farol trasero izq,SYC,0.25,Farol Trasero Izquierdo
1623/2020,M304086,farol trasero der,SYC,0.25,Farol Trasero Derecho
1681/2020,M304221,aloj faro del (derizq) der,Reparar,2.00,Otro
1681/2020,M304221,seY=alero laterales der,SYC,0.25,Otro
1681/2020,M304221,travesaY=o entrechasis,Reparar,2.00,Otro
1729/2020,M302857,paragolpe del con accesorios,Sustituir,2.00,Paragolpe Delantero
1729/2020,M302857,rejilla centde parag,Sustituir,0.10,Otro
1729/2020,M302857,marcos crom parag sup,SYC,0.25,Otro
1729/2020,M302857,rejilla der de parag,Sustituir,0.10,Otro
1729/2020,M302857,espejo retrovisor ext manual der,Sustituir,0.40,Otro
1729/2020,M302857,bucheglass delantero der,Sustituir,0.30,Otro
1729/2020,M302857,broches various parg y,Sustituir,0.00,Otro
1729/2020,M302857,puerta delan desarme completo der,Sustituir,6.00,Puerta Delantera Derecha
1729/2020,M302857,farol trasero der,Sustituir,0.25,Farol Trasero Derecho
1729/2020,M302857,guia de paragolpes del izq,Sustituir,0.20,Otro
1729/2020,M302857,guia de paragolpes del der,Sustituir,0.20,Otro
1729/2020,M302857,guardabarro trasero soldado der,Reparar,3.00,Guardabarro Trasero Derecho
1729/2020,M302857,tapizado baul der,SYC,0.20,Otro
1729/2020,M302857,puerta tras desarme compl der,Reparar,3.50,Puerta Trasera Derecha
1729/2020,M302857,frente de fibra,Sustituir,2.00,Otro
1729/2020,M302857,plastico prot lat motor der,Sustituir,1.00,Otro
1729/2020,M302857,plastico prot lat motor izq,Sustituir,1.00,Otro
1729/2020,M302857,paragolpe trasero,Reparar,2.00,Paragolpe Trasero
1729/2020,M302857,fletes,Sustituir,0.00,Otro
1729/2020,M302857,guardabarro delantero der,Reparar,2.00,Guardabarro Delantero Derecho
1729/2020,M302857,bucheglass izq,Sustituir,0.30,Otro
